transaction_id,card_id,timestamp,merchant_segment,channel,country,amount,fraud_pattern,is_fraud,rule_velocity,rule_high_amount,any_rule_hit,card_tx_count,card_total_amount,card_avg_amount,fraud_risk_score
T0024463,C001752,2026-01-10 00:00:27,grocery,card_present,CA,37.51,,False,False,False,False,21,1932.06,92.00285714285714,1.3772171561169264e-07
T0042091,C000642,2026-01-10 00:00:29,electronics,card_present,CA,411.8,,False,False,False,False,13,1574.25,121.09615384615384,4.709065200779194e-09
T0034681,C000881,2026-01-10 00:00:31,gaming,card_present,IN,52.9,,False,False,False,False,29,3605.57,124.33000000000001,6.652120983679684e-07
T0044856,C002214,2026-01-10 00:00:32,fashion,card_present,FR,97.93,,False,False,False,False,16,1179.1599999999999,73.69749999999999,1.9415317819439783e-09
T0045756,C000397,2026-01-10 00:00:33,digital_content,card_present,DE,12.09,,False,False,False,False,20,1148.96,57.448,6.524884196489297e-08
T0049928,C001274,2026-01-10 00:00:34,marketplace,card_not_present,BR,82.03,,False,False,False,False,28,2312.17,82.5775,0.024874340278118558
T0000930,C001446,2026-01-10 00:00:37,marketplace,card_not_present,GB,89.23,,False,False,False,False,21,1937.64,92.26857142857143,0.0014508896428271098
T0001061,C001927,2026-01-10 00:00:41,marketplace,card_present,BR,45.96,,False,False,False,False,20,1385.09,69.2545,3.614894643105212e-08
T0050470,C002463,2026-01-10 00:00:41,electronics,card_not_present,CA,10347.21,high_amount,True,False,True,True,22,13021.5,591.8863636363636,0.9999999999999931
T0044969,C001706,2026-01-10 00:00:41,fuel,card_present,IN,38.0,,False,False,False,False,20,1168.3799999999999,58.419,1.4767593407495525e-08
T0014261,C002438,2026-01-10 00:00:42,grocery,card_present,CA,31.8,,False,False,False,False,21,2344.29,111.63285714285715,1.3119915392204765e-07
T0040850,C002032,2026-01-10 00:00:42,travel,card_not_present,FR,97.7,,False,False,False,False,16,6502.98,406.43625,1.9223504111706276e-05
T0000469,C000454,2026-01-10 00:00:43,gaming,card_present,GB,20.65,,False,False,False,False,20,1111.67,55.5835,4.128785794052313e-08
T0048707,C001988,2026-01-10 00:00:44,electronics,card_present,GB,159.45,,False,False,False,False,19,1879.8,98.93684210526315,4.272546606943417e-08
T0017576,C001649,2026-01-10 00:00:47,gaming,card_not_present,US,13.49,,False,False,False,False,25,1541.26,61.6504,0.0034270580130255374
T0008218,C002289,2026-01-10 00:00:48,digital_content,card_not_present,FR,81.01,,False,False,False,False,20,1988.3700000000001,99.41850000000001,0.0006600558964592767
T0031126,C001531,2026-01-10 00:00:49,fuel,card_present,DE,16.23,,False,False,False,False,24,2486.87,103.61958333333332,3.310886830329422e-07
T0028880,C001770,2026-01-10 00:00:50,electronics,card_present,FR,264.86,,False,False,False,False,16,1392.79,87.049375,7.133903116304368e-09
T0009216,C000545,2026-01-10 00:00:51,travel,card_present,FR,187.41,,False,False,False,False,17,1938.65,114.03823529411765,8.458445859329123e-09
T0046965,C001190,2026-01-10 00:00:53,travel,card_not_present,CA,62.08,,False,False,False,False,27,1657.3700000000001,61.38407407407408,0.0178965550096564
T0038713,C000869,2026-01-10 00:00:54,marketplace,card_not_present,GB,26.05,,False,False,False,False,15,1055.83,70.38866666666667,7.549081222769404e-05
T0030892,C000861,2026-01-10 00:00:58,fashion,card_present,FR,117.82,,False,False,False,False,17,1621.22,95.36588235294118,3.078239490287063e-09
T0047804,C000495,2026-01-10 00:01:01,electronics,card_present,GB,180.29,,False,False,False,False,28,2051.6,73.27142857142857,3.1370664284158116e-06
T0017511,C002197,2026-01-10 00:01:08,electronics,card_not_present,DE,217.48,,False,False,False,False,21,1851.1100000000001,88.14809523809524,0.0016918907313790326
T0025389,C001732,2026-01-10 00:01:10,fuel,card_present,IN,28.51,,False,False,False,False,27,1559.3,57.75185185185185,3.460351846713031e-07
T0038556,C001014,2026-01-10 00:01:10,electronics,card_present,CA,416.28,,False,False,False,False,19,2220.8,116.8842105263158,8.855800747679548e-08
T0021945,C001935,2026-01-10 00:01:17,digital_content,card_not_present,GB,62.78,,False,False,False,False,28,24845.850000000002,887.3517857142858,0.20192894993356303
T0015178,C001545,2026-01-10 00:01:17,digital_content,card_not_present,US,28.86,,False,False,False,False,25,2110.39,84.4156,0.007349047255921555
T0010163,C001036,2026-01-10 00:01:19,digital_content,card_present,FR,26.71,,False,False,False,False,18,1377.09,76.505,1.479398887865533e-08
T0010721,C001039,2026-01-10 00:01:22,marketplace,card_present,BR,139.37,,False,False,False,False,21,12985.28,618.3466666666667,3.596506286068456e-08
T0043597,C000405,2026-01-10 00:01:23,gaming,card_present,BR,33.85,,False,False,False,False,18,963.4300000000001,53.52388888888889,1.1869840090782718e-08
T0033033,C001340,2026-01-10 00:01:23,marketplace,card_not_present,CA,29.35,,False,False,False,False,18,1410.05,78.33611111111111,0.0002606223838749929
T0029781,C002368,2026-01-10 00:01:23,gaming,card_not_present,IN,12.86,,False,False,False,False,23,1143.36,49.71130434782608,0.0004942596611826691
T0000965,C002373,2026-01-10 00:01:24,digital_content,card_present,US,15.53,,False,False,False,False,22,10971.279999999999,498.6945454545454,7.595221017649264e-08
T0037959,C000369,2026-01-10 00:01:24,electronics,card_present,US,279.86,,False,False,False,False,15,1746.8,116.45333333333333,5.246636208283933e-09
T0022673,C000297,2026-01-10 00:01:27,grocery,card_not_present,FR,21.9,,False,False,False,False,25,1965.8,78.632,0.006741647653908225
T0047582,C002041,2026-01-10 00:01:27,electronics,card_present,BR,98.93,,False,False,False,False,22,2845.76,129.3527272727273,9.410407055431419e-08
T0013432,C002098,2026-01-10 00:01:28,fashion,card_present,IN,37.64,,False,False,False,False,22,1816.52,82.5690909090909,1.1273703520342127e-08
T0010142,C000736,2026-01-10 00:01:30,digital_content,card_not_present,US,22.91,,False,False,False,False,20,1282.05,64.10249999999999,0.0007269129159002332
T0018639,C000320,2026-01-10 00:01:32,gaming,card_present,BR,12.28,,False,False,False,False,21,2016.82,96.03904761904762,4.029085329110721e-08
T0016793,C001666,2026-01-10 00:01:35,digital_content,card_present,FR,22.92,,False,False,False,False,18,1647.85,91.54722222222222,1.3985951417940895e-08
T0008225,C002227,2026-01-10 00:01:38,gaming,card_not_present,BR,28.51,,False,False,False,False,20,1277.73,63.8865,0.0004304624860878768
T0003856,C001779,2026-01-10 00:01:38,digital_content,card_present,DE,39.39,,False,False,False,False,25,2043.63,81.74520000000001,7.060725046835788e-07
T0020294,C000022,2026-01-10 00:01:42,marketplace,card_present,IN,47.52,,False,False,False,False,15,1310.97,87.398,1.0256779496859777e-09
T0025332,C001112,2026-01-10 00:01:44,digital_content,card_not_present,FR,11.16,,False,False,False,False,16,1350.31,84.394375,8.18767079034714e-05
T0009073,C000052,2026-01-10 00:01:46,marketplace,card_not_present,GB,39.69,,False,False,False,False,23,2422.59,105.33000000000001,0.0031015027366768306
T0036496,C001399,2026-01-10 00:01:47,electronics,card_not_present,IN,288.9,,False,False,False,False,17,1611.37,94.78647058823529,8.313819679979604e-05
T0037046,C002310,2026-01-10 00:01:49,marketplace,card_present,BR,56.2,,False,False,False,False,25,1640.1299999999999,65.6052,3.742439614928261e-07
T0011493,C000008,2026-01-10 00:01:53,electronics,card_not_present,CA,228.77,,False,False,False,False,27,1821.79,67.4737037037037,0.030077692456713673
T0012481,C002415,2026-01-10 00:01:54,marketplace,card_not_present,CA,31.06,,False,False,False,False,25,2069.2,82.76799999999999,0.00675407663798857
T0038563,C000905,2026-01-10 00:01:55,digital_content,card_present,DE,14.18,,False,False,False,False,18,1520.22,84.45666666666666,2.4498500934309345e-08
T0032801,C001552,2026-01-10 00:01:56,gaming,card_not_present,DE,14.93,,False,False,False,False,22,1630.03,74.09227272727273,0.001213320568747557
T0002439,C002111,2026-01-10 00:01:57,gaming,card_not_present,IN,20.5,,False,False,False,False,18,1548.61,86.03388888888888,4.793655276504786e-05
T0010865,C002028,2026-01-10 00:02:00,marketplace,card_not_present,IN,59.64,,False,False,False,False,21,1840.9,87.66190476190476,0.00027176832124926973
T0043661,C000734,2026-01-10 00:02:03,fuel,card_not_present,BR,34.49,,False,False,False,False,29,2697.4,93.01379310344828,0.04541438793798686
T0037848,C000487,2026-01-10 00:02:04,digital_content,card_not_present,GB,37.34,,False,False,False,False,22,1785.57,81.16227272727272,0.0032486902966768895
T0043577,C002461,2026-01-10 00:02:06,fuel,card_present,CA,80.64,,False,False,False,False,14,1170.65,83.61785714285715,4.2062092151050445e-09
T0046758,C000791,2026-01-10 00:02:07,grocery,card_not_present,FR,41.38,,False,False,False,False,19,1418.6299999999999,74.66473684210526,0.00045074877292157944
T0024114,C000896,2026-01-10 00:02:16,travel,card_not_present,BR,91.14,,False,False,False,False,24,1645.91,68.57958333333333,0.003945151169457922
T0043642,C000082,2026-01-10 00:02:17,grocery,card_present,FR,20.06,,False,False,False,False,9,574.32,63.81333333333334,2.8895640626221146e-10
T0008477,C001154,2026-01-10 00:02:21,electronics,card_not_present,BR,48.03,,False,False,False,False,19,1240.28,65.2778947368421,0.00032217456135896734
T0000065,C001028,2026-01-10 00:02:23,gaming,card_present,GB,15.54,,False,False,False,False,19,1219.79,64.19947368421053,2.5226537184439574e-08
T0024284,C001605,2026-01-10 00:02:23,fuel,card_not_present,FR,45.21,,False,False,False,False,24,1873.81,78.07541666666667,0.0031491167266853564
T0010132,C001283,2026-01-10 00:02:23,fashion,card_not_present,BR,34.7,,False,False,False,False,17,2404.68,141.45176470588234,4.446732736238058e-05
T0016118,C001775,2026-01-10 00:02:24,fashion,card_not_present,CA,54.52,,False,False,False,False,21,2846.53,135.54904761904763,0.00044908041501056793
T0048082,C000901,2026-01-10 00:02:25,gaming,card_not_present,CA,19.49,,False,False,False,False,18,1306.19,72.56611111111111,0.0002106368045088057
T0022812,C001041,2026-01-10 00:02:33,gaming,card_not_present,DE,24.78,,False,False,False,False,19,1680.71,88.45842105263158,0.00030311775184571805
T0036405,C002079,2026-01-10 00:02:33,electronics,card_present,IN,112.18,,False,False,False,False,19,2120.5099999999998,111.6057894736842,7.2394379369902e-09
T0027095,C002469,2026-01-10 00:02:34,digital_content,card_not_present,GB,22.31,,False,False,False,False,23,1884.5500000000002,81.93695652173913,0.004900605011982193
T0044414,C001032,2026-01-10 00:02:39,electronics,card_not_present,IN,307.29,,False,False,False,False,24,1762.29,73.42875,0.002419067669403372
T0036023,C000603,2026-01-10 00:02:42,fashion,card_present,IN,34.16,,False,False,False,False,33,12109.89,366.9663636363636,6.1543798075933805e-06
T0025322,C002383,2026-01-10 00:02:42,fashion,card_not_present,US,113.61,,False,False,False,False,24,1507.93,62.83041666666667,0.0015966603293163806
T0048340,C001327,2026-01-10 00:02:42,travel,card_not_present,DE,400.68,,False,False,False,False,19,1432.48,75.39368421052632,0.0013863561471826977
T0031648,C001517,2026-01-10 00:02:49,gaming,card_not_present,FR,19.48,,False,False,False,False,27,1845.95,68.36851851851851,0.006949981954487579
T0043459,C002453,2026-01-10 00:02:49,grocery,card_not_present,FR,26.85,,False,False,False,False,20,2201.12,110.056,0.0006358052041006569
T0005544,C001999,2026-01-10 00:02:50,grocery,card_present,DE,36.11,,False,False,False,False,24,12002.38,500.09916666666663,5.105397546839822e-07
T0004861,C000148,2026-01-10 00:02:51,grocery,card_not_present,US,31.25,,False,False,False,False,18,1582.73,87.92944444444444,0.00033299141495149714
T0036505,C000409,2026-01-10 00:02:53,fashion,card_not_present,IN,132.68,,False,False,False,False,21,1897.73,90.36809523809524,0.00014878861947019417
T0003436,C001516,2026-01-10 00:02:54,gaming,card_not_present,FR,13.06,,False,False,False,False,25,1199.52,47.9808,0.0026955530240963415
T0047312,C000166,2026-01-10 00:02:54,electronics,card_not_present,BR,121.28,,False,False,False,False,27,2399.8,88.88148148148149,0.01661512456252745
T0009864,C001575,2026-01-10 00:02:55,fuel,card_not_present,CA,28.18,,False,False,False,False,11,424.65999999999997,38.60545454545454,1.7264863769888812e-05
T0031537,C002494,2026-01-10 00:02:56,electronics,card_not_present,DE,171.5,,False,False,False,False,23,2755.16,119.7895652173913,0.003612589457830797
T0021408,C001675,2026-01-10 00:02:58,fashion,card_present,US,33.47,,False,False,False,False,17,1135.74,66.80823529411765,3.1755655561484408e-09
T0000993,C000493,2026-01-10 00:03:01,fashion,card_not_present,CA,49.8,,False,False,False,False,22,2125.56,96.61636363636363,0.0007498910706529234
T0047604,C000059,2026-01-10 00:03:04,marketplace,card_present,FR,98.7,,False,False,False,False,24,2927.94,121.9975,1.8506303811982157e-07
T0040181,C000579,2026-01-10 00:03:06,digital_content,card_present,US,15.81,,False,False,False,False,21,2025.57,96.45571428571428,7.026921045880408e-08
T0038262,C001029,2026-01-10 00:03:07,travel,card_not_present,GB,39.06,,False,False,False,False,22,1818.66,82.66636363636364,0.0019105933440463022
T0011812,C002204,2026-01-10 00:03:08,marketplace,card_not_present,FR,71.8,,False,False,False,False,19,1661.42,87.44315789473684,0.00024609740200700676
T0024932,C001947,2026-01-10 00:03:14,gaming,card_not_present,BR,15.37,,False,False,False,False,22,1445.0700000000002,65.685,0.001024852319703657
T0043964,C001000,2026-01-10 00:03:14,fuel,card_not_present,IN,36.11,,False,False,False,False,22,1288.7,58.57727272727273,0.0005553300671712007
T0012069,C002288,2026-01-10 00:03:15,digital_content,card_present,CA,25.08,,False,False,False,False,16,1822.48,113.905,9.672090782973187e-09
T0030575,C000393,2026-01-10 00:03:16,gaming,card_present,DE,26.62,,False,False,False,False,25,1602.16,64.0864,3.3169036687613883e-07
T0011679,C000189,2026-01-10 00:03:17,grocery,card_present,CA,31.59,,False,False,False,False,17,1340.1100000000001,78.83000000000001,2.1400257135984948e-08
T0032010,C000255,2026-01-10 00:03:17,electronics,card_present,IN,97.16,,False,False,False,False,25,2082.56,83.30239999999999,1.2109734084190144e-07
T0000080,C001675,2026-01-10 00:03:18,electronics,card_present,IN,47.1,,False,False,False,False,17,1135.74,66.80823529411765,2.555247561317968e-09
T0026704,C002224,2026-01-10 00:03:21,grocery,card_present,US,37.82,,False,False,False,False,14,1223.44,87.38857142857144,3.4335663578040754e-09
T0034855,C000453,2026-01-10 00:03:22,travel,card_present,FR,83.83,,False,False,False,False,21,1751.03,83.38238095238096,4.2117462813581877e-08
T0019063,C000002,2026-01-10 00:03:22,digital_content,card_not_present,FR,13.6,,False,False,False,False,22,912.64,41.483636363636364,0.0014225287562305844
T0037344,C001663,2026-01-10 00:03:24,digital_content,card_not_present,CA,6.29,,False,False,False,False,19,1690.03,88.94894736842105,0.0006198504570575434
T0028866,C002013,2026-01-10 00:03:24,travel,card_not_present,DE,35.22,,False,False,False,False,19,1867.8,98.30526315789473,0.0003627734514667553
T0045661,C000466,2026-01-10 00:03:26,gaming,card_not_present,IN,26.66,,False,False,False,False,12,779.18,64.93166666666666,3.3218408818938693e-06
T0042639,C000439,2026-01-10 00:03:27,electronics,card_present,IN,183.4,,False,False,False,False,21,1597.91,76.09095238095239,2.559449058968122e-08
T0007796,C001001,2026-01-10 00:03:27,marketplace,card_present,GB,32.26,,False,False,False,False,23,1981.3,86.14347826086956,2.0092496545680533e-07
T0025936,C000504,2026-01-10 00:03:29,fashion,card_not_present,CA,36.27,,False,False,False,False,26,2048.3,78.78076923076924,0.004655498546811895
T0044912,C002150,2026-01-10 00:03:31,gaming,card_present,IN,119.07,,False,False,False,False,25,2594.37,103.7748,1.1905740975916124e-07
T0032682,C001338,2026-01-10 00:03:33,electronics,card_present,US,122.49,,False,False,False,False,18,1268.6499999999999,70.48055555555555,1.4612576233179434e-08
T0019059,C000271,2026-01-10 00:03:34,marketplace,card_not_present,DE,35.72,,False,False,False,False,26,1522.45,58.55576923076923,0.009875044528241422
T0020440,C001747,2026-01-10 00:03:37,fuel,card_not_present,BR,59.76,,False,False,False,False,17,1232.65,72.50882352941177,0.00019388600102799425
T0037761,C000229,2026-01-10 00:03:38,gaming,card_present,GB,11.76,,False,False,False,False,15,789.96,52.664,4.182114191691258e-09
T0032474,C002100,2026-01-10 00:03:39,marketplace,card_present,IN,53.72,,False,False,False,False,22,1856.42,84.38272727272728,2.8028006070126546e-08
T0009401,C001196,2026-01-10 00:03:41,travel,card_present,CA,143.59,,False,False,False,False,23,892.71,38.813478260869566,2.5932921106157355e-07
T0047982,C001758,2026-01-10 00:03:44,fashion,card_not_present,DE,44.82,,False,False,False,False,22,2309.98,104.99909090909091,0.0006754812452824442
T0013795,C001462,2026-01-10 00:03:44,electronics,card_present,DE,54.32,,False,False,False,False,20,1357.4,67.87,4.071430923722232e-08
T0043843,C000091,2026-01-10 00:03:46,fashion,card_present,BR,103.09,,False,False,False,False,27,2129.83,78.88259259259259,4.780948190390022e-07
T0002744,C002369,2026-01-10 00:03:48,fashion,card_not_present,IN,74.75,,False,False,False,False,21,11092.43,528.2109523809524,6.438918332803294e-05
T0010232,C002316,2026-01-10 00:03:48,grocery,card_present,DE,24.69,,False,False,False,False,19,1310.7,68.98421052631579,5.0086004710313787e-08
T0041500,C001899,2026-01-10 00:03:52,fuel,card_present,BR,20.54,,False,False,False,False,26,1523.1799999999998,58.583846153846146,7.006823275525391e-07
T0036602,C001830,2026-01-10 00:03:53,digital_content,card_present,FR,87.88,,False,False,False,False,22,2132.09,96.91318181818183,1.1504853930035237e-07
T0011290,C001557,2026-01-10 00:03:57,grocery,card_present,US,31.16,,False,False,False,False,24,1452.93,60.53875,3.6557162648200895e-07
T0023251,C000483,2026-01-10 00:03:57,grocery,card_not_present,IN,27.74,,False,False,False,False,19,1248.81,65.72684210526316,0.00019809169493965257
T0020338,C002232,2026-01-10 00:04:00,digital_content,card_not_present,FR,29.35,,False,False,False,False,24,1812.8799999999999,75.53666666666666,0.003666407330018933
T0042098,C000384,2026-01-10 00:04:05,digital_content,card_not_present,US,41.27,,False,False,False,False,29,2733.25,94.25,0.048838503021488414
T0049422,C002076,2026-01-10 00:04:05,grocery,card_not_present,GB,45.15,,False,False,False,False,16,1877.67,117.354375,0.00021204976360144817
T0047535,C001694,2026-01-10 00:04:13,electronics,card_present,GB,331.42,,False,False,False,False,27,2285.21,84.63740740740741,3.4161400325792856e-06
T0026048,C000282,2026-01-10 00:04:14,fashion,card_present,FR,91.61,,False,False,False,False,14,1110.65,79.33214285714287,7.330294282677556e-10
T0006618,C001500,2026-01-10 00:04:17,marketplace,card_not_present,US,68.85,,False,False,False,False,26,1751.7,67.37307692307692,0.007995140032047283
T0032388,C001953,2026-01-10 00:04:19,gaming,card_present,GB,34.86,,False,False,False,False,26,2259.7200000000003,86.9123076923077,6.808570459398389e-07
T0003197,C000565,2026-01-10 00:04:19,electronics,card_present,FR,182.77,,False,False,False,False,20,1604.64,80.232,3.531000086455406e-08
T0045067,C001917,2026-01-10 00:04:21,digital_content,card_present,CA,30.21,,False,False,False,False,14,908.56,64.89714285714285,4.7375305635085104e-09
T0007918,C000266,2026-01-10 00:04:22,gaming,card_present,GB,29.47,,False,False,False,False,22,1202.99,54.681363636363635,1.0572612693067087e-07
T0005102,C001359,2026-01-10 00:04:22,fuel,card_present,GB,52.01,,False,False,False,False,17,976.15,57.42058823529412,1.9244568725680432e-08
T0001242,C001944,2026-01-10 00:04:28,marketplace,card_not_present,FR,39.97,,False,False,False,False,21,974.26,46.39333333333333,0.0005962957787873635
T0020489,C000509,2026-01-10 00:04:33,fashion,card_present,CA,46.31,,False,False,False,False,17,1060.77,62.39823529411765,5.112547706488169e-09
T0014752,C000365,2026-01-10 00:04:34,fashion,card_not_present,DE,40.38,,False,False,False,False,23,2469.2,107.35652173913043,0.0010699843012049863
T0040072,C001155,2026-01-10 00:04:42,grocery,card_present,DE,52.29,,False,False,False,False,24,2234.98,93.12416666666667,5.510845452040094e-07
T0045160,C002067,2026-01-10 00:04:44,grocery,card_not_present,CA,36.51,,False,False,False,False,30,2558.91,85.297,0.12473604939744282
T0036458,C000037,2026-01-10 00:04:45,fashion,card_not_present,CA,131.46,,False,False,False,False,27,2463.71,91.24851851851852,0.010478036581271518
T0022656,C000111,2026-01-10 00:04:46,gaming,card_not_present,DE,19.37,,False,False,False,False,23,1703.05,74.04565217391304,0.0019563483338378446
T0027164,C000690,2026-01-10 00:04:47,fuel,card_not_present,IN,15.09,,False,False,False,False,25,1368.56,54.742399999999996,0.002016570270679622
T0042712,C000069,2026-01-10 00:04:47,travel,card_present,CA,246.99,,False,False,False,False,12,934.5699999999999,77.88083333333333,2.2076494083052107e-09
T0005427,C002069,2026-01-10 00:04:48,travel,card_present,IN,153.55,,False,False,False,False,24,2319.08,96.62833333333333,9.860499269959765e-08
T0013470,C000246,2026-01-10 00:04:50,gaming,card_not_present,GB,68.03,,False,False,False,False,20,1240.54,62.027,0.0007335461654508854
T0032505,C001764,2026-01-10 00:04:50,digital_content,card_not_present,DE,30.64,,False,False,False,False,21,1456.89,69.3757142857143,0.0016412097639757163
T0034922,C002022,2026-01-10 00:04:50,gaming,card_present,IN,27.16,,False,False,False,False,20,11660.579999999998,583.0289999999999,3.1757249108894545e-09
T0009388,C002137,2026-01-10 00:04:52,fuel,card_present,BR,44.31,,False,False,False,False,18,2596.32,144.24,1.5602131806020954e-08
T0018961,C002365,2026-01-10 00:04:55,digital_content,card_not_present,BR,16.19,,False,False,False,False,14,602.35,43.025,5.885363142100869e-05
T0035494,C002305,2026-01-10 00:04:58,gaming,card_present,IN,46.82,,False,False,False,False,29,4111.64,141.78068965517244,6.776022477423512e-07
T0024100,C001759,2026-01-10 00:04:58,digital_content,card_not_present,US,26.28,,False,False,False,False,21,2034.78,96.89428571428572,0.001108739940745519
T0012832,C000394,2026-01-10 00:04:58,electronics,card_present,US,359.65,,False,False,False,False,22,1632.45,74.20227272727273,2.1229453256617843e-07
T0014621,C000578,2026-01-10 00:05:01,marketplace,card_present,FR,149.95,,False,False,False,False,24,2430.21,101.25875,2.2189159183822956e-07
T0011705,C000251,2026-01-10 00:05:04,electronics,card_not_present,FR,194.68,,False,False,False,False,19,1513.5,79.65789473684211,0.00035247375729340107
T0036790,C000878,2026-01-10 00:05:04,fuel,card_not_present,IN,62.51,,False,False,False,False,19,2372.91,124.88999999999999,0.0001327464955593744
T0048831,C001483,2026-01-10 00:05:04,grocery,card_present,CA,33.0,,False,False,False,False,15,1028.31,68.554,8.863824916017065e-09
T0000605,C002066,2026-01-10 00:05:04,fuel,card_present,US,23.84,,False,False,False,False,20,2139.64,106.982,3.5833796682306535e-08
T0035107,C002041,2026-01-10 00:05:07,gaming,card_not_present,BR,34.3,,False,False,False,False,22,2845.76,129.3527272727273,0.001029194454476516
T0009244,C002347,2026-01-10 00:05:08,travel,card_present,IN,206.74,,False,False,False,False,23,2171.9,94.4304347826087,7.416357179024352e-08
T0042457,C001781,2026-01-10 00:05:11,travel,card_not_present,IN,425.03,,False,False,False,False,16,1110.05,69.378125,9.821623913540155e-05
T0040738,C002415,2026-01-10 00:05:12,grocery,card_not_present,DE,48.32,,False,False,False,False,25,2069.2,82.76799999999999,0.013038213849526732
T0048783,C001632,2026-01-10 00:05:15,marketplace,card_present,DE,123.21,,False,False,False,False,22,1902.81,86.49136363636363,1.401484849650062e-07
T0032320,C002400,2026-01-10 00:05:17,grocery,card_not_present,US,21.42,,False,False,False,False,27,1714.71,63.50777777777778,0.020808051915920847
T0013458,C001880,2026-01-10 00:05:17,digital_content,card_not_present,BR,20.02,,False,False,False,False,25,2014.83,80.5932,0.0083279379277535
T0014690,C000786,2026-01-10 00:05:20,travel,card_not_present,DE,145.49,,False,False,False,False,21,1289.17,61.38904761904762,0.0014548704733612432
T0024119,C001217,2026-01-10 00:05:20,fashion,card_present,BR,119.56,,False,False,False,False,21,2559.79,121.8947619047619,2.9234660319297676e-08
T0017124,C000610,2026-01-10 00:05:21,fashion,card_present,IN,104.51,,False,False,False,False,16,1351.68,84.48,8.609083095907783e-10
T0022073,C000989,2026-01-10 00:05:22,fuel,card_present,IN,13.37,,False,False,False,False,18,1130.0,62.77777777777778,5.377913298609578e-09
T0041737,C000283,2026-01-10 00:05:23,travel,card_not_present,US,72.93,,False,False,False,False,23,1662.94,72.30173913043478,0.001992518877650863
T0013869,C001715,2026-01-10 00:05:24,fuel,card_not_present,IN,32.56,,False,False,False,False,19,1225.85,64.51842105263158,0.00013791595405894292
T0038859,C001709,2026-01-10 00:05:29,digital_content,card_not_present,FR,50.05,,False,False,False,False,22,3605.01,163.86409090909092,0.0014344507238782435
T0020991,C001954,2026-01-10 00:05:30,marketplace,card_not_present,IN,38.65,,False,False,False,False,26,1676.8200000000002,64.49307692307693,0.00257566586006298
T0001174,C000444,2026-01-10 00:05:30,travel,card_not_present,BR,53.92,,False,False,False,False,18,1553.15,86.28611111111111,0.00020874549546166096
T0003606,C000338,2026-01-10 00:05:32,gaming,card_present,US,16.76,,False,False,False,False,24,2402.08,100.08666666666666,1.4432385741204646e-07
T0032166,C001741,2026-01-10 00:05:32,marketplace,card_present,US,44.09,,False,False,False,False,23,2377.93,103.38826086956522,1.1986621810037949e-07
T0018214,C000504,2026-01-10 00:05:34,gaming,card_not_present,DE,27.58,,False,False,False,False,26,2048.3,78.78076923076924,0.00805582435677682
T0005679,C001529,2026-01-10 00:05:37,digital_content,card_not_present,US,61.0,,False,False,False,False,20,1836.3700000000001,91.8185,0.0007882845933583972
T0016108,C001758,2026-01-10 00:05:38,fashion,card_present,FR,146.13,,False,False,False,False,22,2309.98,104.99909090909091,3.581056386379126e-08
