merchant_id,industry_segment,settlement_frequency,monthly_txn_count,average_ticket_size,monthly_transaction_volume,chargeback_rate,fraud_alert_rate,days_since_last_chargeback,concentration_ratio,reserve_coverage_ratio,prior_default_flag,gross_exposure,net_exposure,synthetic_pd_signal,risk_label
M00027,travel,weekly,784,257.38,201786.93,0.02769,0.03713,73,0.4536,0.7988,0,30344.51,28418.9,1.0,1
M00028,grocery,weekly,1764,36.88,65060.77,0.00278,0.00377,365,0.1676,0.6876,0,10809.18,10670.13,0.1215,0
M00029,fuel,weekly,793,65.84,52213.82,0.00411,0.0043,105,0.2267,0.8637,0,7654.0,6942.19,0.2011,0
M00030,marketplace,twice_weekly,4059,83.74,339904.17,0.00478,0.00747,124,0.0704,0.9055,0,43312.4,35502.63,0.4711,1
M00031,restaurants,twice_weekly,432,22.46,9703.63,0.00533,0.00615,32,0.354,0.7058,0,752.85,680.24,0.5681,1
M00032,electronics,twice_weekly,5892,160.82,947547.29,0.01524,0.01446,18,0.2796,0.6502,0,60409.24,55995.26,0.9996,1
M00033,retail,twice_weekly,1727,136.58,235880.19,0.00628,0.00777,238,0.0974,0.685,0,31164.51,28430.83,0.7119,1
M00034,retail,daily,5182,87.86,455293.96,0.00516,0.00776,122,0.3698,0.7734,0,72047.64,57799.32,0.7039,0
M00035,travel,weekly,314,340.27,106845.36,0.02363,0.02569,202,0.1253,1.0434,0,13211.21,10902.66,1.0,1
M00036,fuel,twice_weekly,1806,59.18,106872.69,0.00528,0.00767,32,0.0681,0.9847,0,13060.45,10271.0,0.444,1
M00037,grocery,twice_weekly,1261,33.32,42013.36,0.00093,0.00087,1,0.2987,0.9687,0,2522.39,2000.6,0.0197,0
M00038,travel,daily,313,315.39,98718.45,0.01452,0.02423,92,0.081,0.7838,0,16115.94,12864.61,0.9999,1
M00039,fuel,daily,5097,65.32,332911.91,0.00341,0.00335,75,0.0983,0.7675,0,43604.31,35080.1,0.1232,1
M00040,marketplace,daily,811,76.64,62154.05,0.01856,0.01524,44,0.1044,1.0107,0,6932.09,4927.99,0.9998,1
M00041,travel,daily,1661,369.66,614005.9,0.02154,0.01978,155,0.4263,0.6932,0,92260.41,76864.32,1.0,1
M00042,restaurants,daily,3186,27.17,86550.51,0.00406,0.00713,216,0.183,0.9441,0,12161.26,8957.11,0.341,0
M00043,marketplace,daily,1103,48.81,53839.04,0.01567,0.014,86,0.1426,0.6673,0,5581.04,4705.29,0.9993,1
M00044,retail,daily,1696,61.91,105001.28,0.00875,0.0125,94,0.1273,0.8726,0,10407.61,7952.11,0.9609,1
M00045,restaurants,daily,3201,37.04,118558.44,0.00112,0.0017,61,0.3739,1.0687,0,11305.08,7784.27,0.0272,0
M00046,restaurants,daily,3484,52.02,181245.25,0.00562,0.00755,16,0.1851,0.8779,0,22437.94,17097.7,0.591,1
M00047,retail,weekly,1071,74.84,80150.01,0.00728,0.00955,43,0.2921,0.933,0,11077.1,9697.82,0.8586,1
M00048,retail,daily,3876,102.16,395968.69,0.00815,0.01113,168,0.1538,0.4468,1,58675.42,54449.34,0.9891,1
M00049,marketplace,daily,853,80.32,68516.64,0.01458,0.01309,5,0.2018,0.7811,0,8737.54,6983.63,0.9985,1
M00050,grocery,daily,1843,44.02,81135.59,0.00201,0.00279,18,0.4131,0.7595,0,10620.07,8576.66,0.093,0
M00051,fuel,daily,2227,63.8,142091.86,0.00191,0.00302,34,0.1554,0.7808,0,20393.72,16302.2,0.0615,0
M00052,grocery,daily,1517,43.57,66097.84,0.00096,0.00132,219,0.0368,0.8756,0,9949.82,7590.48,0.0158,0
M00053,restaurants,twice_weekly,4845,56.11,271840.28,0.00461,0.00619,69,0.2453,0.7791,0,19754.05,17241.23,0.4247,0
M00054,marketplace,weekly,489,98.43,48134.1,0.02332,0.03943,4,0.0594,0.5881,0,5282.51,5453.82,1.0,1
M00055,marketplace,daily,414,80.87,33480.58,0.01657,0.02567,4,0.3084,0.8281,0,5075.87,3965.13,1.0,1
M00056,restaurants,twice_weekly,2409,42.89,103326.25,0.00221,0.0037,232,0.1932,0.853,0,17305.15,14566.12,0.0832,0
M00057,travel,daily,4756,427.37,2032593.52,0.02313,0.03944,16,0.198,0.7744,0,166625.6,133608.55,1.0,1
M00058,digital_services,daily,3976,113.31,450523.79,0.01154,0.01293,27,0.1604,0.7885,0,29905.47,23817.96,0.9936,1
M00059,grocery,daily,1811,8.0,14488.0,0.00261,0.00285,19,0.1,0.8187,0,1257.75,987.08,0.0643,1
M00060,grocery,daily,2076,35.88,74493.6,0.00032,0.00026,56,0.0439,0.8266,0,8608.72,6729.85,0.0093,0
M00061,marketplace,twice_weekly,887,66.98,59412.03,0.00135,0.00209,47,0.1764,0.7303,0,8985.06,8025.94,0.0464,0
M00062,travel,twice_weekly,1164,268.26,312253.81,0.02224,0.03587,78,0.2629,0.6638,0,48479.24,44659.64,1.0,1
M00063,digital_services,twice_weekly,899,140.02,125873.81,0.01161,0.01701,8,0.0599,0.8501,0,15488.32,13055.93,0.9977,1
M00064,restaurants,daily,3936,52.41,206296.56,0.00796,0.0113,51,0.2761,0.9767,0,20617.07,14926.24,0.929,1
M00065,digital_services,twice_weekly,2862,105.23,301167.06,0.01505,0.02612,40,0.2745,0.5337,1,19636.42,19161.76,1.0,1
M00066,digital_services,daily,1909,98.62,188260.11,0.01902,0.0186,54,0.5598,0.6785,0,27460.61,23033.53,1.0,1
M00067,digital_services,daily,3744,96.01,359448.54,0.01188,0.00988,72,0.4075,0.8749,0,35005.61,26715.62,0.9891,1
M00068,retail,daily,2569,46.35,119076.74,0.00195,0.00145,44,0.1646,0.9723,0,19252.57,13971.1,0.0304,1
M00069,grocery,twice_weekly,1705,8.0,13640.0,0.00417,0.00535,57,0.1473,0.7469,0,1858.47,1647.14,0.2658,0
M00070,travel,weekly,2077,315.65,655609.53,0.02699,0.02201,297,0.2227,0.6501,0,62380.15,62641.85,1.0,1
M00071,fuel,daily,1284,79.32,101853.17,0.00372,0.00491,71,0.0846,0.7486,0,9893.21,8031.12,0.1935,0
M00072,retail,daily,1111,89.36,99283.19,0.00391,0.00443,2,0.117,0.7534,0,9104.57,7374.29,0.2116,1
M00073,restaurants,twice_weekly,627,66.29,41561.89,0.00484,0.00524,5,0.3376,0.7646,0,5825.59,5119.82,0.4275,1
M00074,retail,weekly,1494,80.66,120504.95,0.0009,0.00093,36,0.3467,0.6336,0,7907.12,7999.78,0.0374,0
M00075,grocery,daily,303,49.26,14926.92,0.00131,0.002,25,0.0696,0.892,0,2090.54,1581.69,0.0237,0
M00076,retail,twice_weekly,2053,84.22,172903.6,0.00872,0.01075,84,0.3426,0.9169,0,27303.51,22249.19,0.9527,1
M00077,retail,twice_weekly,3308,62.96,208284.51,0.0073,0.0056,88,0.0323,1.1027,0,12750.45,9395.53,0.4527,0
M00078,marketplace,weekly,513,89.43,45880.08,0.00851,0.01367,15,0.2729,0.7624,0,7548.66,7194.85,0.9833,1
M00079,digital_services,daily,5890,116.31,685056.28,0.01252,0.01384,10,0.4313,0.7639,0,59197.21,47708.06,0.9984,1
M00080,restaurants,weekly,1883,45.58,85823.8,0.00341,0.00613,80,0.1305,0.769,0,10762.66,10225.45,0.2535,0
M00081,marketplace,daily,4529,73.56,333148.16,0.01384,0.01173,119,0.2554,0.8378,0,33278.11,25872.12,0.9968,1
M00082,retail,weekly,542,58.24,31564.04,0.00342,0.0029,77,0.2929,0.6962,0,3248.82,3194.35,0.1535,1
M00083,restaurants,daily,577,53.6,30925.02,0.00444,0.00591,11,0.0314,0.9887,0,2101.74,1511.89,0.2328,1
M00084,fuel,daily,14855,23.74,352714.26,0.00394,0.00438,53,0.1388,0.6782,0,56511.66,47406.21,0.2438,0
M00085,grocery,daily,467,55.95,26128.35,0.00194,0.00214,65,0.3545,1.0489,0,2780.18,1935.44,0.0409,0
M00086,grocery,daily,3563,40.04,142652.02,0.00164,0.00181,8,0.1731,0.789,0,13480.55,10733.64,0.039,0
M00087,marketplace,daily,933,73.17,68264.62,0.00855,0.0083,24,0.3344,0.5495,0,9340.0,8297.98,0.9432,1
M00088,travel,daily,1585,315.73,500436.11,0.025,0.04275,1,0.101,0.4939,0,30263.13,27534.98,1.0,1
M00089,fuel,daily,642,69.11,44366.42,0.00096,0.00127,108,0.3004,0.6195,0,4923.38,4241.51,0.0372,0
M00090,gaming,daily,826,133.5,110273.9,0.0002,0.0003,161,0.3655,0.6146,0,9242.11,7979.34,0.0339,0
M00091,fuel,twice_weekly,6633,54.15,359171.02,0.00119,0.00163,154,0.2327,0.9396,0,27959.93,22518.11,0.0266,0
M00092,marketplace,weekly,5955,68.31,406805.81,0.01419,0.01223,55,0.0644,0.6394,1,43055.77,43446.02,0.9992,1
M00093,travel,twice_weekly,4592,348.3,1599393.78,0.02322,0.03402,38,0.1209,0.8593,0,117734.22,98789.14,1.0,1
M00094,retail,daily,684,128.6,87963.1,0.00209,0.00355,30,0.1407,0.9067,0,12034.12,9036.58,0.0649,0
M00095,retail,daily,1041,73.97,77007.49,0.00725,0.00581,133,0.2491,0.7513,0,7919.61,6420.79,0.6887,0
M00096,digital_services,weekly,1526,88.77,135465.52,0.02941,0.03619,125,0.1284,0.6548,0,9341.1,9360.33,1.0,1
M00097,retail,daily,932,75.72,70569.26,0.0114,0.01075,165,0.335,0.9173,0,4736.59,3537.54,0.984,1
M00098,grocery,daily,1204,41.7,50207.35,0.0028,0.00455,116,0.3756,0.7995,0,8481.84,6719.16,0.1765,0
M00099,grocery,weekly,1296,49.53,64194.81,0.00159,0.00225,119,0.0842,0.7752,0,4536.27,4297.22,0.035,0
M00100,electronics,weekly,5027,396.1,1991172.71,0.00328,0.00287,66,0.0842,0.7759,0,236250.37,223722.46,0.2209,0
M00101,healthcare,daily,181,137.66,24916.89,0.00581,0.00477,31,0.0606,0.8466,0,4358.3,3373.51,0.3292,0
M00102,marketplace,twice_weekly,189,51.01,9641.49,0.01118,0.01308,70,0.0246,0.8044,0,907.15,782.11,0.989,1
M00103,retail,daily,2543,56.82,144480.78,0.0054,0.00925,46,0.1532,0.6521,0,16853.21,14307.21,0.7465,1
M00104,electronics,twice_weekly,1493,247.44,369434.72,0.01263,0.02092,162,0.2943,0.6712,0,34769.66,31922.26,0.9998,1
M00105,restaurants,daily,1078,44.91,48408.52,0.00281,0.0034,89,0.1356,0.9188,0,3650.26,2724.04,0.077,0
M00106,marketplace,daily,814,67.79,55181.75,0.01105,0.01161,324,0.1932,0.7443,0,4377.59,3560.85,0.9876,1
M00107,travel,twice_weekly,1306,281.23,367284.38,0.02793,0.04181,36,0.3949,0.7762,0,63765.86,55731.89,1.0,1
M00108,retail,daily,1579,104.69,165304.56,0.00287,0.00478,14,0.104,0.7517,0,12188.62,9880.06,0.1538,0
M00109,grocery,twice_weekly,3129,39.21,122681.71,0.00182,0.00216,32,0.5796,1.0668,0,20770.78,15618.46,0.0597,0
M00110,healthcare,daily,2136,99.59,212721.96,0.00338,0.00493,19,0.3429,0.728,0,29797.12,24424.92,0.2792,0
M00111,travel,weekly,329,219.9,72346.29,0.01891,0.02806,42,0.1704,0.5781,0,10730.23,11127.04,1.0,1
M00112,fuel,twice_weekly,357,50.24,17935.78,0.00471,0.00843,222,0.2588,1.0791,0,2077.5,1551.4,0.4754,0
M00113,retail,daily,2787,55.85,155653.31,0.00532,0.00521,33,0.0683,0.7347,0,25176.23,20572.62,0.3786,1
M00114,digital_services,twice_weekly,1111,52.64,58479.19,0.0038,0.00511,203,0.1723,0.7234,1,3836.1,3437.85,0.542,0
M00115,fuel,daily,3265,59.88,195495.27,0.00268,0.00241,48,0.2506,0.7281,0,34461.32,28247.88,0.0925,0
M00116,restaurants,daily,3165,35.54,112493.54,0.00594,0.01068,125,0.2349,0.753,0,7433.57,6021.8,0.847,1
M00117,restaurants,daily,2139,68.85,147279.06,0.00319,0.00401,82,0.2281,0.8535,0,9464.68,7301.0,0.1384,0
M00118,marketplace,weekly,556,78.96,43900.75,0.02127,0.02051,108,0.0505,0.5601,0,3844.29,4017.9,1.0,1
M00119,travel,weekly,3216,218.63,703123.5,0.00967,0.01143,59,0.3279,0.7128,0,96624.86,94273.81,0.9888,1
M00120,digital_services,weekly,823,136.76,112549.48,0.01446,0.02553,46,0.2207,0.7386,0,6800.17,6554.85,1.0,1
M00121,digital_services,weekly,180,99.87,17976.12,0.01369,0.02002,1,0.2321,0.6243,0,1325.33,1346.44,0.9998,1
M00122,digital_services,weekly,1562,116.39,181801.76,0.02089,0.03451,9,0.3588,0.7464,0,32403.53,31120.47,1.0,1
M00123,grocery,daily,953,54.63,52064.04,0.00272,0.0027,44,0.1611,0.8394,0,6766.33,5256.41,0.0677,0
M00124,travel,weekly,2772,297.9,825779.16,0.02412,0.04026,60,0.073,0.9586,0,51894.5,44828.61,1.0,1
M00125,grocery,daily,363,31.27,11352.61,0.00196,0.00159,97,0.1466,0.7688,0,1396.5,1122.82,0.0372,0
M00126,gaming,daily,1311,88.88,116523.29,0.01439,0.02254,14,0.1517,0.4141,0,18264.61,17179.21,1.0,1
M00127,retail,daily,3423,115.79,396348.65,0.01356,0.01428,2,0.2523,0.7028,0,45532.77,37765.17,0.9987,1
M00128,fuel,daily,1207,28.5,34395.38,0.00103,0.00098,1,0.0981,0.9279,0,5746.96,4268.56,0.0164,0
M00129,grocery,daily,2669,43.76,116797.99,0.00314,0.00263,162,0.1168,0.6025,0,13933.89,12095.28,0.1062,0
M00130,digital_services,daily,1055,57.99,61176.91,0.01809,0.01575,90,0.3292,1.0132,0,8260.46,5864.25,0.9998,1
M00131,fuel,daily,1103,53.27,58752.91,0.00211,0.00178,105,0.3065,0.8139,0,7351.31,5782.94,0.0538,0
M00132,healthcare,daily,2086,180.95,377466.55,0.00164,0.00117,0,0.0513,0.6378,0,26944.86,23023.16,0.0361,0
M00133,digital_services,weekly,402,106.63,42864.71,0.00172,0.00251,144,0.2236,0.8867,0,7124.99,6387.97,0.0546,0
M00134,retail,twice_weekly,4859,101.71,494205.87,0.00928,0.01578,26,0.1454,0.9899,0,50320.38,39463.56,0.9889,1
M00135,digital_services,daily,2298,63.07,144941.08,0.01308,0.0147,147,0.5216,0.7508,0,9754.77,7910.39,0.999,1
M00136,grocery,daily,1307,51.04,66711.68,0.00147,0.00225,73,0.043,0.7139,0,10188.42,8407.07,0.0346,0
M00137,electronics,daily,819,282.03,230984.64,0.01091,0.0156,101,0.0738,0.7948,0,35703.01,28348.04,0.9956,1
M00138,gaming,daily,875,81.29,71130.78,0.01613,0.02019,170,0.157,0.8329,0,8449.38,6584.85,0.9999,1
M00139,restaurants,weekly,3756,40.47,151988.11,0.00361,0.00595,124,0.02,0.7904,0,12079.89,11359.68,0.2186,1
M00140,grocery,daily,1230,30.89,37995.84,0.00185,0.00272,26,0.0439,0.7994,0,6627.24,5250.31,0.0418,0
M00141,gaming,twice_weekly,428,71.94,30788.87,0.01805,0.01541,30,0.0674,0.9831,0,2162.2,1701.87,0.9998,1
M00142,gaming,twice_weekly,921,80.1,73773.05,0.01914,0.01431,23,0.2038,0.5112,0,8853.37,8723.03,0.9999,1
M00143,electronics,daily,1035,312.09,323011.31,0.02177,0.01675,24,0.1934,0.5931,0,42971.37,37457.02,1.0,1
M00144,digital_services,weekly,4175,121.65,507869.49,0.01031,0.0096,6,0.1869,1.0347,0,62595.81,51905.31,0.962,1
M00145,travel,daily,479,367.66,176109.06,0.02348,0.03568,105,0.4093,0.961,0,26410.68,19280.36,1.0,1
M00146,retail,weekly,1985,92.01,182640.72,0.00517,0.007,12,0.159,0.6802,0,30949.65,30655.2,0.5852,1
M00147,retail,twice_weekly,540,121.87,65809.97,0.01018,0.01355,42,0.1022,0.7051,0,9541.54,8624.13,0.9879,1
M00148,gaming,twice_weekly,1975,166.95,329735.67,0.02229,0.03459,26,0.1065,0.5248,0,44789.67,43874.78,1.0,1
M00149,travel,twice_weekly,4238,290.73,1232094.51,0.00905,0.00996,180,0.1553,0.6837,0,153446.98,140074.11,0.9746,1
M00150,grocery,weekly,5657,36.52,206566.14,0.00235,0.00258,87,0.305,0.9117,0,29873.49,26442.81,0.0689,0
M00151,restaurants,weekly,2400,40.61,97464.46,0.00463,0.00485,65,0.1878,0.724,0,16455.38,15971.43,0.323,0
M00152,healthcare,daily,630,222.1,139923.41,0.00443,0.00501,76,0.6097,0.6032,0,16026.19,13906.92,0.5359,0
M00153,fuel,twice_weekly,1807,55.2,99742.53,0.00347,0.00271,4,0.2458,0.9264,0,6306.95,5114.32,0.1016,0
M00154,digital_services,twice_weekly,181,22.26,4028.5,0.02202,0.0271,8,0.5575,0.7617,0,301.6,265.43,1.0,1
M00155,grocery,daily,1328,27.05,35922.84,0.00339,0.00568,27,0.1958,0.9177,0,3559.77,2658.08,0.1956,0
M00156,marketplace,weekly,1209,48.78,58980.39,0.01476,0.01633,71,0.1376,0.7354,0,4745.82,4581.63,0.9994,1
M00157,retail,daily,1218,63.1,76857.68,0.0059,0.00939,198,0.1473,0.7861,0,9498.04,7573.11,0.75,0
M00158,marketplace,daily,617,44.45,27424.21,0.00572,0.00473,12,0.1564,0.6161,0,4099.43,3537.02,0.4934,1
M00159,marketplace,daily,858,81.99,70346.01,0.02158,0.02873,26,0.1247,0.5744,0,4307.25,3785.51,1.0,1
M00160,restaurants,daily,1309,33.98,44482.2,0.00157,0.00157,53,0.1868,0.8223,0,6293.95,4930.69,0.0332,0
M00161,grocery,weekly,888,38.07,33810.36,0.00192,0.0028,11,0.0271,0.9999,0,6076.77,5135.05,0.0325,0
M00162,healthcare,daily,4829,204.78,988882.03,0.00428,0.00512,16,0.1912,0.7019,0,143748.98,119275.73,0.419,1
M00163,retail,daily,1885,115.98,218618.47,0.00681,0.00548,54,0.0539,1.0138,0,32391.48,22988.29,0.4464,0
M00164,grocery,daily,2039,45.32,92411.07,0.00377,0.00619,55,0.4371,0.6568,0,15876.75,13449.57,0.4473,1
M00165,digital_services,daily,539,82.46,44448.38,0.01612,0.01167,14,0.1474,0.6034,1,7857.02,6817.57,0.9997,1
M00166,retail,twice_weekly,781,80.58,62935.93,0.00395,0.00576,217,0.0584,0.5818,0,7753.44,7409.51,0.3145,1
M00167,restaurants,weekly,815,61.63,50224.91,0.00488,0.00855,30,0.1476,0.9201,1,6290.78,5544.41,0.7765,1
M00168,restaurants,daily,1169,63.9,74703.14,0.00414,0.00648,2,0.123,0.9697,0,6236.07,4531.48,0.2855,1
M00169,retail,daily,6085,75.96,462232.97,0.00638,0.00909,34,0.2204,1.0641,0,38648.4,26679.34,0.7299,1
M00170,electronics,daily,9493,222.67,2113783.84,0.02175,0.0302,102,0.2809,1.0019,0,377233.62,269453.28,1.0,1
M00171,retail,twice_weekly,1822,89.75,163527.81,0.0086,0.01107,123,0.3976,0.7499,0,23778.32,21044.64,0.9681,1
M00172,gaming,daily,1210,134.08,162240.28,0.03059,0.02217,180,0.0948,0.5531,0,27613.83,24495.32,1.0,1
M00173,retail,daily,3394,57.19,194087.09,0.00588,0.00665,56,0.3489,0.9547,0,33363.11,24436.12,0.592,0
M00174,electronics,daily,2073,296.48,614609.74,0.00726,0.00657,190,0.4834,0.7942,0,42720.31,33930.52,0.838,0
M00175,fuel,twice_weekly,1516,32.37,49073.65,0.00347,0.00579,29,0.3203,0.7343,0,5222.36,4656.28,0.3099,1
M00176,grocery,daily,1029,65.08,66964.49,0.00131,0.00116,64,0.0914,0.7884,0,6824.51,5435.6,0.022,0
M00177,travel,daily,1856,284.44,527928.88,0.02295,0.02141,27,0.1668,0.7777,0,40047.18,32060.84,1.0,1
M00178,electronics,twice_weekly,980,281.95,276310.03,0.01312,0.00997,1,0.3957,0.7437,0,21805.72,19355.61,0.9951,1
M00179,healthcare,twice_weekly,3787,155.55,589082.12,0.00285,0.00422,62,0.1856,0.8478,0,48366.54,40816.88,0.1343,1
M00180,restaurants,daily,678,38.56,26142.75,0.00305,0.00524,14,0.3811,0.7194,0,4571.49,3762.45,0.2747,0
M00181,healthcare,twice_weekly,2331,158.81,370194.37,0.0031,0.00539,24,0.0877,0.816,0,33797.74,28974.49,0.1795,1
M00182,healthcare,weekly,655,88.23,57790.89,0.00089,0.0015,65,0.1542,0.8965,0,3562.31,3177.86,0.0198,0
M00183,gaming,daily,2007,84.23,169046.39,0.03109,0.04793,31,0.3856,0.8856,0,19504.19,14804.73,1.0,1
M00184,retail,twice_weekly,3053,64.98,198379.83,0.00713,0.00889,90,0.1352,0.936,0,27326.17,22049.3,0.784,1
M00185,restaurants,daily,1241,46.15,57270.31,0.00345,0.00275,55,0.1694,0.9825,0,3768.62,2720.0,0.08,0
M00186,marketplace,twice_weekly,893,80.78,72135.76,0.02022,0.02114,17,0.3908,0.6175,0,9981.78,9389.42,1.0,1
M00187,retail,daily,3179,64.86,206195.86,0.00479,0.00838,121,0.1719,1.031,0,21117.96,14847.48,0.4891,1
M00188,grocery,twice_weekly,1158,43.89,50820.28,0.00123,0.00123,104,0.168,0.7276,0,7869.5,7038.39,0.0275,0
M00189,restaurants,daily,1295,40.06,51881.51,0.00458,0.00798,11,0.1577,0.8078,0,6235.38,4919.62,0.5165,0
M00190,retail,daily,1179,65.09,76739.43,0.00525,0.00792,9,0.0651,1.0082,0,11034.79,7855.22,0.4741,0
M00191,electronics,weekly,1405,422.11,593066.63,0.01086,0.01194,40,0.1103,0.6923,0,91131.57,89766.98,0.991,1
M00192,retail,daily,1393,96.82,134870.37,0.00099,0.00078,30,0.1306,0.7843,0,12430.93,9920.57,0.0205,0
M00193,grocery,weekly,1496,36.39,54439.16,0.00079,0.00103,113,0.1565,0.8139,0,5215.25,4848.58,0.0181,0
M00194,restaurants,weekly,2177,52.73,114787.23,0.00509,0.00536,81,0.1347,0.5242,0,19062.03,20234.36,0.4682,1
M00195,fuel,weekly,1421,49.03,69678.43,0.00447,0.00633,3,0.4043,0.6297,0,4332.32,4390.83,0.5473,1
M00196,fuel,daily,1354,62.87,85126.95,0.00423,0.00553,46,0.1287,0.6783,0,13496.28,11321.24,0.3109,0
M00197,digital_services,twice_weekly,167,100.72,16820.55,0.0191,0.02816,53,0.2556,0.7258,0,2998.71,2684.35,1.0,1
M00198,healthcare,daily,1197,159.22,190588.34,0.00327,0.00505,29,0.0694,0.9672,0,28044.13,20405.26,0.1335,0
M00199,fuel,daily,641,24.94,15985.56,0.00446,0.0038,29,0.1563,0.8937,0,2305.69,1742.9,0.1737,0
M00200,retail,weekly,3413,109.09,372320.93,0.00602,0.00751,202,0.1498,0.8508,0,53356.74,48709.3,0.649,1
M00201,restaurants,twice_weekly,1742,43.26,75367.15,0.00589,0.00866,11,0.2354,0.8273,0,5809.79,4952.94,0.7268,1
M00202,electronics,daily,834,339.59,283214.53,0.01672,0.0289,123,0.2557,0.7462,0,22902.06,18612.55,1.0,1
M00203,gaming,daily,1898,136.46,259010.16,0.01992,0.01976,39,0.1023,0.6694,1,30996.87,26107.88,1.0,1
M00204,fuel,twice_weekly,262,47.37,12411.36,0.00293,0.00336,224,0.1553,0.699,0,983.05,891.04,0.1089,0
M00205,grocery,twice_weekly,2752,38.67,106416.21,0.00271,0.00342,45,0.509,0.8847,0,9395.76,7783.78,0.1378,0
M00206,fuel,daily,1836,63.18,115991.59,0.00532,0.00823,36,0.0796,0.883,0,8600.2,6536.68,0.5327,1
M00207,grocery,weekly,644,36.04,23210.61,0.00164,0.00194,18,0.0592,0.9336,0,2619.57,2292.62,0.0251,0
M00208,marketplace,daily,2214,83.18,184159.34,0.01181,0.01848,129,0.3546,0.6786,0,31001.05,26002.19,0.9994,1
M00209,grocery,daily,821,42.66,35025.69,0.00314,0.00229,67,0.02,0.8179,0,2117.78,1662.7,0.0574,0
M00210,gaming,twice_weekly,1319,139.85,184465.11,0.03131,0.02371,78,0.0493,0.5641,0,15529.51,14956.0,1.0,1
M00211,marketplace,weekly,1463,62.65,91653.88,0.01078,0.01019,156,0.2181,0.8081,0,11004.71,10259.71,0.9775,1
M00212,digital_services,daily,2344,91.03,213371.6,0.00666,0.00644,22,0.2183,0.6813,0,18507.51,15503.96,0.7344,1
M00213,fuel,daily,1106,73.88,81713.78,0.00401,0.00294,24,0.2279,0.8613,0,11367.97,8735.24,0.14,0
